2015-01-12,DISCA,698,178,589,
2015-01-12,DG,26255,19868,53,7258,23,2
2015-01-12,DG,1082,854,206,6,334,10
2015-01-12,DLTR,945,16153,1060,5513,474,266
2015-01-12,DLTR,806,549,5,392,1555,3960
2015-01-12,D,1519,1581,5882,1316,368,310
2015-01-12,D,828,527,28,701,625,270
2015-01-12,DOV,37,242,334,529
2015-01-12,DOV,5046,209,29,
2015-01-12,DOW,225,114,10051,260,9145,775
2015-01-12,DOW,328,11225,444,2593,447,11363
2015-01-12,DPS,3,1,128,299,4,1
2015-01-12,DPS,33,0,0,0,32,207
2015-01-12,DTE,1,280,153,115,3
2015-01-12,DTE,,216,59,57
2015-01-12,DD,642,392,628,3449,9098,3109
2015-01-12,DD,493,1206,258,220,220,491
2015-01-12,DUK,2288,3243,6429,731,696,10
2015-01-12,DUK,167,14,0,1028,1553,4940
2015-01-12,DNB,9,28,40,0
2015-01-12,DNB,20,2,7,
2015-01-12,ETFC,1002,1542,1,12572,26,6987
2015-01-12,ETFC,384,107,506,25,2868,148
2015-01-12,EMN,48,88,942,1092,1459,2927
2015-01-12,EMN,980,616,377,355,1078,1440
2015-01-12,ETN,11,58,1563,70,85,135
2015-01-12,ETN,166,102,31,43,45,2655
2015-01-12,EBAY,187,269,47093,324,9312,2991
2015-01-12,EBAY,1714,9173,468,1239,373,26202
2015-01-12,ECL,19,9,333,168,1889,997
2015-01-12,ECL,489,438,89,149,364,1064
2015-01-12,EIX,5,90,686,636,882,90
2015-01-12,EIX,804,1,0,518,851,189
2015-01-12,EW,130,259,369,174,11,1
2015-01-12,EW,30,0,0,527,428,181
2015-01-12,EA,599,184,1015,532,539,168
2015-01-12,EA,347,389,198,130,52,395
2015-01-12,EMC,671,2809,32,8925,3267,53685
2015-01-12,EMC,9160,2687,18461,50,9675,936
2015-01-12,EMR,76,270,1941,2351,4949,3903
2015-01-12,EMR,2662,1526,863,1392,4673,3895
2015-01-12,ESV,384,113,657,333,629,1154
2015-01-12,ESV,1385,9855,738,5026,1350,1240
2015-01-12,ETR,399,504,597,158,229,124
2015-01-12,ETR,72,114,3,198,264,211
2015-01-12,EOG,0,141,0,3175,0,248
2015-01-12,EOG,3726,15,286,2,172,0
2015-01-12,EQT,1,57,977,1574
2015-01-12,EQT,248,391,121,10,227,172
2015-01-12,EFX,10,22,52,10
2015-01-12,EFX,,44,132,0
2015-01-12,EQR,629,1094,450,0,0
2015-01-12,EQR,,90,224,91
2015-01-12,ESS,0,0,95,10,10
2015-01-12,ESS,,3,0,0
2015-01-12,EL,867,410,979,3156,2130,2343
2015-01-12,EL,1926,385,121,525,3850,1489
2015-01-12,EXC,7030,11300,9377,9894,6903,4772
2015-01-12,EXC,1419,573,451,1497,2802,4036
2015-01-12,EXPE,63,3324,119,0,90,0
2015-01-12,EXPE,3,328,11,297,1133,769
2015-01-12,EXPD,89,1500,2164,218,5145,246
2015-01-12,EXPD,143,252,182,484,443,497
2015-01-12,ESRX,12,2399,0,0,2064,200
2015-01-12,ESRX,0,1247,124,0,1855,0
2015-01-12,XOM,3206,10,20792,0,2022,46
2015-01-12,XOM,151,3235,67,20047,81,24268
2015-01-12,FFIV,673,11,20,30,46,1168
2015-01-12,FFIV,79,99,527,497,53,202
2015-01-12,FB,52,10188,64,288,29906,1434
2015-01-12,FB,787,18215,634,571,7812,2309
2015-01-12,FDO,14490,60,1071,0,1436,183
2015-01-12,FDO,1103,107,0,3019,4211,4
2015-01-12,FAST,105,1073,439,766,1850,1744
